A,B,C,D,E,F,G,Widget Power,QZ
106.3,0,153.5,16.5,852.1,887.1,3,33.4,C
212.5,0,155.7,14.3,852.1,880.4,3,25.2,D
94.7,0,147.4,11.4,946.8,852.1,3,41.1,C
189,0,164.9,11.6,944.7,755.8,3,35.3,C
282.8,0,183.8,10.3,942.7,659.9,3,28.3,D
151.2,0,153.9,15.9,1134.3,605,3,28.6,C
189,0,164.9,11.6,944.7,755.8,3,35.3,C
200.9,0,144.7,11.2,1004.6,803.7,3,24.4,D
189,0,164.9,11.6,944.7,755.8,3,35.3,C
177,0,186,11.1,884.9,707.9,3,39.3,C
189,0,145.9,22,944.7,755.8,3,40.6,C
189,0,164.9,11.6,944.7,755.8,3,35.3,C
189,0,174.9,9.5,944.7,755.8,3,24.1,D
189.2,0,170.1,10.1,926.1,756.7,7,46.2,C
262.2,0,175.5,8.6,1046.9,611.8,7,42.8,D
106.3,0,153.5,16.5,852.1,887.1,7,49.2,C
106.3,0,151.4,18.6,936,803.7,7,46.8,C
93.8,0,126.6,23.4,852.1,992.6,7,45.7,C
118.8,0,181.1,8.9,852.1,781.5,7,55.6,C
117.2,0,137.8,32.2,852.1,840.5,7,54.9,C
106.3,0,153.5,16.5,852.1,887.1,7,49.2,C
97.1,0,157.9,12.1,852.1,925.7,7,34.9,C
0,0,141.8,28.2,852.1,893.7,7,46.9,C
106.3,0,153.5,16.5,852.1,887.1,7,49.2,C
212.5,0,155.7,14.3,852.1,880.4,7,33.4,D
94.7,0,147.4,11.4,946.8,852.1,7,54.1,C
189,0,164.9,11.6,944.7,755.8,7,55.9,C
282.8,0,183.8,10.3,942.7,659.9,7,49.8,D
151.2,0,153.9,15.9,1134.3,605,7,47.1,C
189,0,164.9,11.6,944.7,755.8,7,55.9,C
200.9,0,144.7,11.2,1004.6,803.7,7,38,D
189,0,164.9,11.6,944.7,755.8,7,55.9,C
177,0,186,11.1,884.9,707.9,7,56.1,C
189,0,145.9,22,944.7,755.8,7,59.09,C
189,0,164.9,11.6,944.7,755.8,7,22.9,C
189,0,174.9,9.5,944.7,755.8,7,35.1,D
189.2,0,170.1,10.1,926.1,756.7,28,61.09,C
262.2,0,175.5,8.6,1046.9,611.8,28,59.8,D
106.3,0,153.5,16.5,852.1,887.1,28,60.29,C
106.3,0,151.4,18.6,936,803.7,28,61.8,C
93.8,0,126.6,23.4,852.1,992.6,28,56.7,C
118.8,0,181.1,8.9,852.1,781.5,28,68.3,C
117.2,0,137.8,32.2,852.1,840.5,28,66.9,C
106.3,0,153.5,16.5,852.1,887.1,28,60.29,C
97.1,0,157.9,12.1,852.1,925.7,28,50.7,C
0,0,141.8,28.2,852.1,893.7,28,56.4,C
106.3,0,153.5,16.5,852.1,887.1,28,60.29,C
212.5,0,155.7,14.3,852.1,880.4,28,55.5,D
94.7,0,147.4,11.4,946.8,852.1,28,68.5,C
189,0,164.9,11.6,944.7,755.8,28,71.3,C
282.8,0,183.8,10.3,942.7,659.9,28,74.7,D
151.2,0,153.9,15.9,1134.3,605,28,52.2,C
189,0,164.9,11.6,944.7,755.8,28,71.3,C
200.9,0,144.7,11.2,1004.6,803.7,28,67.7,D
189,0,164.9,11.6,944.7,755.8,28,71.3,C
177,0,186,11.1,884.9,707.9,28,66,C
189,0,145.9,22,944.7,755.8,28,74.5,C
189,0,164.9,11.6,944.7,755.8,28,71.3,C
189,0,174.9,9.5,944.7,755.8,28,49.9,D
189.2,0,170.1,10.1,926.1,756.7,56,63.4,C
262.2,0,175.5,8.6,1046.9,611.8,56,64.9,D
106.3,0,153.5,16.5,852.1,887.1,56,64.3,C
106.3,0,151.4,18.6,936,803.7,56,64.9,C
93.8,0,126.6,23.4,852.1,992.6,56,60.2,C
118.8,0,181.1,8.9,852.1,781.5,56,72.3,C
117.2,0,137.8,32.2,852.1,840.5,56,69.3,C
106.3,0,153.5,16.5,852.1,887.1,56,64.3,C
97.1,0,157.9,12.1,852.1,925.7,56,55.2,C
0,0,141.8,28.2,852.1,893.7,56,58.8,C
106.3,0,153.5,16.5,852.1,887.1,56,64.3,C
212.5,0,155.7,14.3,852.1,880.4,56,66.1,D
94.7,0,147.4,11.4,946.8,852.1,56,73.7,C
189,0,164.9,11.6,944.7,755.8,56,77.3,C
282.8,0,183.8,10.3,942.7,659.9,56,80.2,D
151.2,0,153.9,15.9,1134.3,605,56,54.9,C
189,0,164.9,11.6,944.7,755.8,56,77.3,C
200.9,0,144.7,11.2,1004.6,803.7,56,72.99,D
189,0,164.9,11.6,944.7,755.8,56,77.3,C
177,0,186,11.1,884.9,707.9,56,71.7,C
189,0,145.9,22,944.7,755.8,56,79.4,C
189,0,164.9,11.6,944.7,755.8,56,77.3,C
189,0,174.9,9.5,944.7,755.8,56,59.89,D
189.2,0,170.1,10.1,926.1,756.7,91,64.9,C
262.2,0,175.5,8.6,1046.9,611.8,91,66.6,D
106.3,0,153.5,16.5,852.1,887.1,91,65.2,C
106.3,0,151.4,18.6,936,803.7,91,66.7,C
93.8,0,126.6,23.4,852.1,992.6,91,62.5,C
118.8,0,181.1,8.9,852.1,781.5,91,74.19,C
117.2,0,137.8,32.2,852.1,840.5,91,70.7,C
106.3,0,153.5,16.5,852.1,887.1,91,65.2,C
97.1,0,157.9,12.1,852.1,925.7,91,57.6,C
0,0,141.8,28.2,852.1,893.7,91,59.2,C
106.3,0,153.5,16.5,852.1,887.1,91,65.2,C
212.5,0,155.7,14.3,852.1,880.4,91,68.1,D
94.7,0,147.4,11.4,946.8,852.1,91,75.5,C
189,0,164.9,11.6,944.7,755.8,91,79.3,C
151.2,0,153.9,15.9,1134.3,605,91,56.5,C
189,0,164.9,11.6,944.7,755.8,91,79.3,C
200.9,0,144.7,11.2,1004.6,803.7,91,76.8,D
189,0,164.9,11.6,944.7,755.8,91,79.3,C
177,0,186,11.1,884.9,707.9,91,73.3,C
189,0,145.9,22,944.7,755.8,91,82.6,C
189,0,164.9,11.6,944.7,755.8,91,79.3,C
189,0,174.9,9.5,944.7,755.8,91,67.8,D
0,96.7,189.3,4.5,967.1,870.3,3,11.58,A
0,96.7,189.3,4.5,967.1,870.3,14,24.45,A
0,96.7,189.3,4.5,967.1,870.3,28,24.89,A
0,96.7,189.3,4.5,967.1,870.3,56,29.45,A
0,96.7,189.3,4.5,967.1,870.3,100,40.71,A
0,94.6,197.9,4.6,947,852.2,3,10.38,A
0,94.6,197.9,4.6,947,852.2,14,22.14,A
0,94.6,197.9,4.6,947,852.2,28,22.84,A
0,94.6,197.9,4.6,947,852.2,56,27.66,A
0,94.6,197.9,4.6,947,852.2,100,34.56,A
0,100.5,165.6,7.5,1006.4,905.9,3,12.45,A
0,100.5,165.6,7.5,1006.4,905.9,14,24.99,A
0,100.5,165.6,7.5,1006.4,905.9,28,25.72,A
0,100.5,165.6,7.5,1006.4,905.9,56,33.96,A
0,100.5,165.6,7.5,1006.4,905.9,100,37.34,A
0,125.4,162.1,7.8,1090,804,3,15.04,B
0,125.4,162.1,7.8,1090,804,14,21.06,B
0,125.4,162.1,7.8,1090,804,28,26.4,B
0,125.4,162.1,7.8,1090,804,56,35.34,B
0,125.4,162.1,7.8,1090,804,100,40.57,B
0,121.6,180.3,5.7,1057.6,779.3,3,12.47,A
0,121.6,180.3,5.7,1057.6,779.3,14,20.92,A
0,121.6,180.3,5.7,1057.6,779.3,28,24.9,A
0,121.6,180.3,5.7,1057.6,779.3,56,34.2,A
0,121.6,180.3,5.7,1057.6,779.3,100,39.61,A
0,118.3,195.5,4.6,1029.4,758.6,3,10.03,A
0,118.3,195.5,4.6,1029.4,758.6,14,20.08,A
0,118.3,195.5,4.6,1029.4,758.6,28,24.48,A
0,118.3,195.5,4.6,1029.4,758.6,56,31.54,A
0,118.3,195.5,4.6,1029.4,758.6,100,35.34,A
0,125.2,161.9,9.9,1088.1,802.6,3,9.45,B
0,125.2,161.9,9.9,1088.1,802.6,14,22.72,B
0,125.2,161.9,9.9,1088.1,802.6,28,28.47,B
0,125.2,161.9,9.9,1088.1,802.6,56,38.56,B
0,125.2,161.9,9.9,1088.1,802.6,100,40.39,B
0,163.3,176.5,4.5,1058.6,780.1,3,10.76,B
0,163.3,176.5,4.5,1058.6,780.1,14,25.48,B
0,163.3,176.5,4.5,1058.6,780.1,28,21.54,B
0,163.3,176.5,4.5,1058.6,780.1,56,28.63,B
0,163.3,176.5,4.5,1058.6,780.1,100,33.54,B
42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,B
42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82,B
42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24,B
42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85,B
42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23,B
98.1,24.5,181.7,6.9,1065.8,785.4,3,18,A
98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,A
98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71,A
98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,A
98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9,A
98.1,24.5,181.7,6.7,1066,785.5,3,13.18,A
98.1,24.5,181.7,6.7,1066,785.5,14,17.84,A
98.1,24.5,181.7,6.7,1066,785.5,28,40.23,A
98.1,24.5,181.7,6.7,1066,785.5,56,47.13,A
98.1,24.5,181.7,6.7,1066,785.5,100,49.97,A
0,118.2,195.2,6.1,1028.1,757.6,3,13.36,A
0,118.2,195.2,6.1,1028.1,757.6,14,22.32,A
0,118.2,195.2,6.1,1028.1,757.6,28,24.54,A
0,118.2,195.2,6.1,1028.1,757.6,56,31.35,A
0,118.2,195.2,6.1,1028.1,757.6,100,40.86,A
0,94.1,186.7,7,949.9,847,3,19.93,A
0,94.1,186.7,7,949.9,847,14,25.69,A
0,94.1,186.7,7,949.9,847,28,30.23,A
0,94.1,186.7,7,949.9,847,56,39.59,A
0,94.1,186.7,7,949.9,847,100,44.3,A
0,95.7,187.4,5.5,956.9,861.2,3,13.82,A
0,95.7,187.4,5.5,956.9,861.2,14,24.92,A
0,95.7,187.4,5.5,956.9,861.2,28,29.22,A
0,95.7,187.4,5.5,956.9,861.2,56,38.33,A
0,95.7,187.4,5.5,956.9,861.2,100,42.35,A
0,100.4,159.3,8.7,1007.8,903.6,3,13.54,A
0,100.4,159.3,8.7,1007.8,903.6,14,26.31,A
0,100.4,159.3,8.7,1007.8,903.6,28,31.64,A
0,100.4,159.3,8.7,1007.8,903.6,56,42.55,A
0,100.4,159.3,8.7,1007.8,903.6,100,42.92,A
0,100.4,159.4,10.4,1003.8,903.8,3,13.33,A
0,100.4,159.4,10.4,1003.8,903.8,14,25.37,A
0,100.4,159.4,10.4,1003.8,903.8,28,37.4,A
0,100.4,159.4,10.4,1003.8,903.8,56,44.4,A
0,100.4,159.4,10.4,1003.8,903.8,100,47.74,A
0,124.8,159,7.8,1085.4,799.5,3,19.52,A
0,124.8,159,7.8,1085.4,799.5,14,31.35,A
0,124.8,159,7.8,1085.4,799.5,28,38.5,A
0,124.8,159,7.8,1085.4,799.5,56,45.08,A
0,124.8,159,7.8,1085.4,799.5,100,47.82,A
0,121.6,174,6.7,1056.4,778.5,3,15.44,A
0,121.6,174,6.7,1056.4,778.5,14,26.77,A
0,121.6,174,6.7,1056.4,778.5,28,33.73,A
0,121.6,174,6.7,1056.4,778.5,56,42.7,A
0,121.6,174,6.7,1056.4,778.5,100,45.84,A
0,118.3,188.5,5.8,1028.4,757.7,3,17.22,A
0,118.3,188.5,5.8,1028.4,757.7,14,29.93,A
0,118.3,188.5,5.8,1028.4,757.7,28,29.65,A
0,118.3,188.5,5.8,1028.4,757.7,56,36.97,A
0,118.3,188.5,5.8,1028.4,757.7,100,43.58,A
0,118.3,188.5,6.4,1028.4,757.7,3,13.12,A
0,118.3,188.5,6.4,1028.4,757.7,14,24.43,A
0,118.3,188.5,6.4,1028.4,757.7,28,32.66,A
0,118.3,188.5,6.4,1028.4,757.7,56,36.64,A
0,118.3,188.5,6.4,1028.4,757.7,100,44.21,A
0,167,169.6,7.6,1055.6,777.8,3,13.62,B
0,167,169.6,7.6,1055.6,777.8,14,21.6,B
0,167,169.6,7.6,1055.6,777.8,28,27.77,B
0,167,169.6,7.6,1055.6,777.8,56,35.57,B
0,167,169.6,7.6,1055.6,777.8,100,45.37,B
45.2,122,170.2,8.2,1059.4,780.7,3,7.32,B
45.2,122,170.2,8.2,1059.4,780.7,14,21.5,B
45.2,122,170.2,8.2,1059.4,780.7,28,31.27,B
45.2,122,170.2,8.2,1059.4,780.7,56,43.5,B
45.2,122,170.2,8.2,1059.4,780.7,100,48.67,B
42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4,B
42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,B
42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12,B
42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,B
42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15,B
0,96.2,168.1,9.4,961.2,865,3,22.5,D
0,96.2,168.1,9.4,961.2,865,14,34.67,D
0,96.2,168.1,9.4,961.2,865,28,34.74,D
0,96.2,168.1,9.4,961.2,865,56,45.08,D
0,96.2,168.1,9.4,961.2,865,100,48.97,D
0,97.4,160.6,11.8,973.9,875.6,3,23.14,D
0,97.4,160.6,11.8,973.9,875.6,14,41.89,D
0,97.4,160.6,11.8,973.9,875.6,28,48.28,D
0,97.4,160.6,11.8,973.9,875.6,56,51.04,D
0,97.4,160.6,11.8,973.9,875.6,100,55.64,D
0,95.6,171.5,8.9,955.1,859.2,3,22.95,D
0,95.6,171.5,8.9,955.1,859.2,14,35.23,D
0,95.6,171.5,8.9,955.1,859.2,28,39.94,D
0,95.6,171.5,8.9,955.1,859.2,56,48.72,D
0,95.6,171.5,8.9,955.1,859.2,100,52.04,D
0,99.9,146.1,12.4,1006,899.8,3,21.02,A
0,99.9,146.1,12.4,1006,899.8,14,33.36,A
0,99.9,146.1,12.4,1006,899.8,28,33.94,A
0,99.9,146.1,12.4,1006,899.8,56,44.14,A
0,99.9,146.1,12.4,1006,899.8,100,45.37,A
0,98.8,158.1,12.8,987.8,889,3,15.36,A
0,98.8,158.1,12.8,987.8,889,14,28.68,A
0,98.8,158.1,12.8,987.8,889,28,30.85,A
0,98.8,158.1,12.8,987.8,889,56,42.03,A
0,98.8,158.1,12.8,987.8,889,100,51.06,A
0,98.8,146.3,14.2,987.8,889,3,21.78,A
0,98.8,146.3,14.2,987.8,889,14,42.29,A
0,98.8,146.3,14.2,987.8,889,28,50.6,A
0,98.8,146.3,14.2,987.8,889,56,55.83,A
0,98.8,146.3,14.2,987.8,889,100,60.95,A
0,125.1,143.3,12,1086.8,800.9,3,23.52,A
0,125.1,143.3,12,1086.8,800.9,14,42.22,A
0,125.1,143.3,12,1086.8,800.9,28,52.5,A
0,125.1,143.3,12,1086.8,800.9,56,60.32,A
0,125.1,143.3,12,1086.8,800.9,100,66.42,A
0,121.4,159.5,9.9,1053.6,777.5,3,23.8,D
0,121.4,159.5,9.9,1053.6,777.5,14,38.77,D
0,121.4,159.5,9.9,1053.6,777.5,28,51.33,D
0,121.4,159.5,9.9,1053.6,777.5,56,56.85,D
0,121.4,159.5,9.9,1053.6,777.5,100,58.61,D
0,117.5,174.8,9.5,1022.8,753.5,3,21.91,D
0,117.5,174.8,9.5,1022.8,753.5,14,36.99,D
0,117.5,174.8,9.5,1022.8,753.5,28,47.4,D
0,117.5,174.8,9.5,1022.8,753.5,56,51.96,D
0,117.5,174.8,9.5,1022.8,753.5,100,56.74,D
0,174.7,154.8,10.2,1053.5,776.4,3,17.57,A
0,174.7,154.8,10.2,1053.5,776.4,14,33.73,A
0,174.7,154.8,10.2,1053.5,776.4,28,40.15,A
0,174.7,154.8,10.2,1053.5,776.4,56,46.64,A
0,174.7,154.8,10.2,1053.5,776.4,100,50.08,A
0,174.2,154.6,11.7,1052.3,775.5,3,17.37,A
0,174.2,154.6,11.7,1052.3,775.5,14,33.7,A
0,174.2,154.6,11.7,1052.3,775.5,28,45.94,A
0,174.2,154.6,11.7,1052.3,775.5,56,51.43,A
0,174.2,154.6,11.7,1052.3,775.5,100,59.3,A
97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45,D
97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,D
97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14,D
97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82,D
97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95,D
54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42,A
54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96,A
54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51,A
54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99,A
54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53,A
53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02,A
53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6,A
53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2,A
53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96,A
53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63,A
0,124.1,158.5,11.3,1078.7,794.9,3,15.34,A
0,124.1,158.5,11.3,1078.7,794.9,14,26.05,A
0,124.1,158.5,11.3,1078.7,794.9,28,30.22,A
0,124.1,158.5,11.3,1078.7,794.9,56,37.27,A
0,124.1,158.5,11.3,1078.7,794.9,100,46.23,A
0,0,214.6,0,1003.5,762.4,3,16.28,C
0,0,214.6,0,1003.5,762.4,14,25.62,C
0,0,214.6,0,1003.5,762.4,28,31.97,C
0,0,214.6,0,1003.5,762.4,56,36.3,C
0,0,214.6,0,1003.5,762.4,100,43.06,C
0,0,140,4,966,853,28,67.57,C
0,59,142,1.9,1098,641,28,57.23,C
137,0,145,5.9,1130,745,28,81.75,D
0,60,195,0,1030,630,28,64.02,C
0,0,165,11.3,1030,745,28,78.8,C
0,0,162,8.2,801,802,28,41.37,C
0,0,170,5.2,855,855,28,60.28,C
0,0,185,6.9,920,720,28,56.83,C
0,0,175,5.2,870,805,28,51.02,C
0,136,158,20,903,768,28,55.55,C
0,0,200,3,1124.4,613.2,28,44.13,C
50,0,200,3,1124.4,613.2,28,39.38,C
17.2,158,167,20.8,967,633,28,55.65,C
17.5,163,167,17.9,996,652,28,47.28,D
17.6,158,189,15.3,967,633,28,44.33,D
0,0,175,0,1120,695,28,52.3,C
200,0,190,0,1145,660,28,49.25,A
0,0,162,8.3,801,802,28,41.37,C
116,119,184,5.7,833,880,28,29.16,B
128,122,182,6.4,824,879,28,39.4,B
156,0,189,5.9,981,760,28,39.3,A
180,95,159,9.5,860,800,28,67.87,A
0,0,162,9.5,1044,662,28,58.52,C
190,0,163,7.6,1031,685,28,53.58,D
119,0,160,9,1061,657,28,59,C
180,120,162,10.4,830,765,28,76.24,D
0,0,151,9,1033,655,28,69.84,C
0,143.6,163.8,0,1005.6,900.9,3,14.4,B
128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42,B
129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,B
129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94,B
13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29,B
50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08,B
75.4,167,164,7.9,1007.3,770.1,3,15.52,B
93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82,B
0,125.2,166.6,9.9,1079,798.9,3,12.55,B
0,95.7,191.8,5.3,948.9,857.2,3,8.49,A
0,174.2,159.2,11.7,1043.6,771.9,3,15.61,A
0,100.5,170.2,7.5,998,901.8,3,12.18,A
0,118.3,192.9,5.8,1043.6,754.3,3,11.98,A
0,143.6,163.8,0,1005.6,900.9,14,16.88,B
128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09,B
129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24,B
129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81,B
13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75,B
50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01,B
75.4,167,164,7.9,1007.3,770.1,14,32.9,B
93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55,B
0,125.2,166.6,9.9,1079,798.9,14,19.42,B
0,95.7,191.8,5.3,948.9,857.2,14,24.66,A
0,174.2,159.2,11.7,1043.6,771.9,14,29.59,A
0,100.5,170.2,7.5,998,901.8,14,24.28,A
0,118.3,192.9,5.8,1043.6,754.3,14,20.73,A
0,143.6,163.8,0,1005.6,900.9,28,26.2,B
128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39,B
129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16,B
129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2,B
13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69,B
50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2,B
75.4,167,164,7.9,1007.3,770.1,28,41.41,B
93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81,B
0,125.2,166.6,9.9,1079,798.9,28,24.85,B
0,95.7,191.8,5.3,948.9,857.2,28,27.22,A
0,174.2,159.2,11.7,1043.6,771.9,28,44.64,A
0,100.5,170.2,7.5,998,901.8,28,37.27,A
0,118.3,192.9,5.8,1043.6,754.3,28,33.27,A
0,143.6,163.8,0,1005.6,900.9,56,36.56,B
128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72,B
129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,B
129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72,B
13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85,B
50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77,B
75.4,167,164,7.9,1007.3,770.1,56,53.46,B
93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99,B
0,125.2,166.6,9.9,1079,798.9,56,31.72,B
0,95.7,191.8,5.3,948.9,857.2,56,39.64,A
0,174.2,159.2,11.7,1043.6,771.9,56,51.26,A
0,100.5,170.2,7.5,998,901.8,56,43.39,A
0,118.3,192.9,5.8,1043.6,754.3,56,39.27,A
0,143.6,163.8,0,1005.6,900.9,100,37.96,B
128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02,B
129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99,B
129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66,B
13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68,B
50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06,B
75.4,167,164,7.9,1007.3,770.1,100,56.81,B
93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94,B
0,125.2,166.6,9.9,1079,798.9,100,33.56,B
0,95.7,191.8,5.3,948.9,857.2,100,41.16,A
0,174.2,159.2,11.7,1043.6,771.9,100,52.96,A
0,100.5,170.2,7.5,998,901.8,100,44.28,A
0,118.3,192.9,5.8,1043.6,754.3,100,40.15,A
24,79,162,11.6,967,712,28,57.03,C
24,79,162,11.6,967,712,28,44.42,C
24,79,162,11.6,967,712,28,51.02,C
24,79,162,10.3,967,712,28,53.39,C
24,79,162,11.6,967,712,3,35.36,C
24,79,162,11.6,967,712,3,25.02,C
24,79,162,11.6,967,712,3,23.35,C
24,79,162,11.6,967,712,7,52.01,C
24,79,162,11.6,967,712,7,38.02,C
24,79,162,11.6,967,712,7,39.3,C
24,79,162,11.6,967,712,56,61.07,C
24,79,162,11.6,967,712,56,56.14,C
24,79,162,11.6,967,712,56,55.25,C
24,79,162,10.3,967,712,56,54.77,C
20,94,157,14.3,938,845,28,50.24,C
20,94,157,13.9,938,845,28,46.68,C
20,94,157,11.6,938,845,28,46.68,C
20,94,157,14.3,938,845,3,22.75,C
20,94,157,13.9,938,845,3,25.51,C
20,94,157,11.6,938,845,3,34.77,C
20,94,157,14.3,938,845,7,36.84,C
20,94,157,13.9,938,845,7,45.9,C
20,94,157,11.6,938,845,7,41.67,C
20,94,157,14.3,938,845,56,56.34,C
20,94,157,13.9,938,845,56,47.97,C
20,94,157,11.6,938,845,56,61.46,C
19,97,145,13.1,967,871,28,44.03,C
