age,balance,purchases,estimated_salary,country,id
41,56214.85,1,92982.61,France,15726931
40,0,0,114996.43,France,15756850
32,0,0,43001.46,Spain,15635905
30,141040.01,0,5978.2,Spain,15604482
50,0,1,146145.93,Spain,15600974
38,129022.06,1,14374.86,France,15727868
33,176666.62,0,94670.77,Spain,15627801
41,89763.84,1,199304.74,Spain,15755262
45,0,1,142513.5,France,15684181
41,0,0,88852.47,France,15573152
47,106854.21,1,157959.02,Germany,15723488
46,49512.55,0,133007.34,France,15680920
43,105799.32,1,34888.04,France,15659366
54,0,1,28737.71,France,15774854
31,114722.05,0,98178.57,France,15725311
33,0,1,4861.72,France,15733247
45,99564.22,1,108872.45,Germany,15568748
39,74596.15,1,85746.52,Germany,15676895
50,96888.39,1,77206.25,Germany,15637753
37,0,0,156105.03,France,15787174
42,100160.75,1,33462.94,Germany,15772896
29,0,0,144375,France,15711540
43,116220.5,1,55803.96,Germany,15764866
46,0,1,89048.46,France,15794056
38,0,0,136259.65,Spain,15812009
67,117411.6,1,45071.09,Germany,15596175
34,0,0,62030.06,Spain,15576269
40,123497.58,1,131953.23,France,15797219
24,103097.85,0,157577.29,Germany,15657566
54,126418.14,1,134420.75,Germany,15772423
79,0,0,170968.99,France,15793726
34,0,0,198637.34,France,15636684
42,108748.08,0,65323.11,Germany,15713853
31,79019.8,0,18606.23,Spain,15700696
39,0,1,81259.25,Spain,15717398
34,100337.96,1,48559.19,Germany,15619955
34,149297.19,0,186339.74,Germany,15796505
62,0,1,11199.04,France,15694456
46,0,1,152167.79,France,15782210
39,0,0,33949.67,France,15668893
35,138718.92,1,47251.79,Germany,15643024
22,174185.98,0,192633.85,France,15708608
26,166297.89,0,181694.44,Spain,15727556
27,0,0,51285.49,France,15655774
34,112822.26,1,150401.53,Spain,15590241
31,125169.26,0,106636.89,France,15774510
44,0,1,155853.52,Spain,15684173
31,0,0,160990.27,France,15803976
33,118082.89,0,94440.45,France,15812191
43,0,1,170034.95,France,15594898
50,137104.47,1,127166.49,France,15773972
38,0,0,171463.83,France,15674398
49,147069.78,1,120540.83,France,15662736
57,145965.33,0,64448.36,Spain,15810834
40,139290.41,1,182855.42,France,15694408
30,0,0,107640.25,France,15682757
46,95441.27,1,108761.05,France,15736008
35,144848.74,0,179012.3,Germany,15669064
44,117028.6,0,144680.18,Germany,15702669
30,112013.81,1,177772.03,Germany,15728669
29,182123.79,1,116828.51,France,15697441
32,150923.74,0,174652.51,Germany,15740476
39,165272.13,1,14109.85,Spain,15636624
39,115301.31,1,43527.4,Germany,15807923
40,129502.49,1,86099.23,Germany,15745844
25,0,0,30380.12,France,15785869
32,114510.85,0,126143.23,Germany,15735203
32,169399.6,0,61936.22,Spain,15777352
57,126776.3,0,132298.49,Spain,15611759
34,126436.29,1,174248.52,Spain,15661629
28,0,0,181543.67,Spain,15803716
45,150842.93,1,2319.96,Germany,15696674
68,0,0,199493.38,France,15676715
34,40105.51,0,53512.16,Germany,15684042
31,107884.81,0,183487.98,Germany,15694506
45,117231.63,1,122381.02,Germany,15583456
39,0,1,188150.6,Spain,15629677
50,0,0,111020.24,France,15713578
44,105934.96,0,82463.69,Germany,15689294
45,0,0,162922.65,Spain,15748936
46,127209,1,77405.95,Spain,15573456
38,0,1,417.41,Spain,15684548
33,54503.55,0,371.05,France,15584766
66,135842.41,1,183840.51,France,15646372
52,63349.75,0,108887.44,France,15690452
23,0,0,112239.03,France,15642291
49,141434.04,1,173779.25,Spain,15578045
37,152958.29,0,159585.61,Germany,15701376
31,124328.84,0,140451.52,Spain,15686302
41,181461.48,1,187929.43,Germany,15801559
61,110368.03,1,11384.45,Germany,15720559
60,115924.89,1,93524.19,Germany,15810418
40,111756.5,1,8128.32,Germany,15674551
39,0,0,48963.59,France,15566111
40,71340.09,0,76192.21,Germany,15576313
40,99282.63,1,134600.94,Germany,15806467
57,137946.39,1,72467.99,Germany,15597602
33,101084.36,0,42749.85,Germany,15705521
37,114754.08,1,136050.44,Germany,15595039
30,79871.02,0,129826.89,Germany,15693737
35,0,0,80190.36,France,15782735
47,116528.15,1,145704.19,Spain,15787470
38,68065.8,1,138777,France,15694860
31,110071.1,0,43921.36,Spain,15710825
33,0,0,7666.73,France,15747960
43,95556.31,1,199273.98,Germany,15707362
29,111681.98,0,195711.16,Germany,15732778
32,133950.37,1,48725.68,France,15773792
26,0,0,167036.94,Spain,15613786
38,130878.75,1,71905.77,Germany,15593782
35,0,0,64833.28,France,15633283
37,149762.08,1,20629.4,France,15683625
26,93844.69,0,28415.36,France,15635367
46,141078.37,1,34580.8,Germany,15591986
31,117992.59,0,183598.77,Germany,15798888
34,156478.62,0,181196.76,Spain,15695585
61,0,1,150227.85,Spain,15676519
39,135096.77,1,14353.43,France,15613772
30,0,0,130486.57,France,15731744
38,81550.94,0,118974.77,France,15624170
47,0,1,194998.34,France,15725679
38,170061.92,1,134901.34,France,15585865
32,169089.38,0,101057.95,France,15662403
58,0,1,116503.92,France,15677020
32,0,0,54405.79,Spain,15727688
60,85891.55,1,74135.48,France,15714485
41,0,0,194902.16,Spain,15715527
22,0,0,117202.19,France,15773890
34,0,0,71095.41,Spain,15782236
51,136188.78,1,67110.59,France,15682048
56,0,1,62256.87,France,15752081
48,101238.24,1,177815.87,France,15775912
35,211774.31,1,188574.12,France,15671256
48,120320.54,0,96463.25,France,15763274
48,152827.99,1,38411.79,Germany,15653849
32,93694.42,0,79919.13,France,15663478
59,0,1,70649.64,France,15776780
35,128173.9,0,59093.39,Germany,15592846
62,114931.35,1,18260.98,Germany,15794142
28,111071.36,1,73275.96,Germany,15762729
37,151226.18,0,136129.49,France,15667896
51,169312.13,1,109078.35,Spain,15705953
49,0,1,87822.14,France,15802593
49,122451.46,0,75808.1,France,15595440
47,106901.94,1,2079.2,Germany,15657284
25,128509.63,0,121562.33,Spain,15763063
51,154962.99,1,191932.27,Spain,15775318
40,138241.9,0,159418.1,Germany,15705515
41,91536.93,1,191468.78,Germany,15634844
29,105204.01,0,138490.03,Germany,15670080
46,0,1,71244.59,France,15665956
38,121021.05,0,12182.15,Spain,15788126
54,0,1,191763.07,Spain,15651674
31,121192.22,0,74890.58,Germany,15795564
45,0,1,67740.08,France,15730076
35,92566.53,0,161519.77,France,15622003
49,0,1,159835.78,Spain,15607312
32,138901.61,0,75685.97,Spain,15761986
36,0,0,169161.46,Spain,15692671
33,108431.87,1,109291.39,Spain,15737741
51,119741.77,1,54954.51,Germany,15803689
51,100946.71,1,179614.8,France,15718057
53,170491.84,1,35588.07,Spain,15722010
36,0,0,160696.72,France,15614782
47,157296.02,1,147278.43,Spain,15591047
38,144606.22,1,56594.36,Germany,15788291
34,115897.12,0,25095.03,France,15679587
43,0,0,107811.28,Spain,15697183
57,162448.69,1,9221.78,Germany,15637476
43,0,1,110916.15,France,15683503
30,0,1,54926.51,France,15592387
37,150525.8,0,94728.49,France,15609286
35,0,0,78397.24,France,15607170
64,129555.7,0,13601.79,France,15619857
31,0,1,121751.04,Spain,15745295
39,170184.99,0,89593.26,Spain,15719352
62,140745.33,1,193437.89,Germany,15766575
35,114193.24,0,71154.1,France,15682585
48,129120.64,0,26475.79,Spain,15745307
47,0,0,145593.85,France,15589030
61,0,1,61108.56,France,15712403
54,115988.86,1,57553.98,Germany,15811762
33,75592.43,0,62674.42,Spain,15718673
31,67996.23,1,50129.87,France,15738181
33,0,0,117834.91,Spain,15603323
48,116060.08,1,156618.38,Spain,15784844
39,135134.99,1,173683,Germany,15640078
39,133102.92,1,27046.46,France,15698786
34,42157.08,1,20598.59,France,15569807
36,0,0,64420.5,France,15633064
42,150461.07,0,108139.23,France,15711889
48,133994.52,1,19287.06,Germany,15664610
25,193858.2,0,21600.11,Spain,15813741
41,81877.38,0,33642.21,Germany,15592937
41,0,0,131300.68,France,15763218
46,122549.64,0,56297.85,Spain,15640825
26,0,0,47472.68,France,15721024
38,88736.44,0,67020.03,Spain,15607040
45,102703.62,1,147802.94,Germany,15715142
55,97318.25,0,78416.14,France,15780804
24,135125.28,0,89801.9,France,15747867
42,178820.91,1,29358.57,Spain,15600337
45,126674.81,1,124118.71,Germany,15579334
51,136294.97,1,38867.46,France,15802741
36,145071.24,0,6078.46,Germany,15665238
62,64119.38,1,76569.64,Spain,15727299
57,106138.33,1,120657.32,Germany,15620204
32,0,0,95611.47,France,15803457
36,76190.48,0,149066.14,Germany,15808621
40,168286.81,1,20451.99,Germany,15580148
35,0,0,10357.03,France,15649423
38,120599.21,0,92816.86,Spain,15629448
25,86605.5,1,16649.31,Spain,15807609
37,58629.97,0,182038.6,Germany,15677369
56,209767.31,1,150694.42,Spain,15721658
42,129634.25,1,177683.02,Spain,15578761
36,97530.25,0,117140.41,France,15626742
40,137494.28,0,81753.92,France,15654238
57,0,1,131372.38,France,15612525
31,125167.02,0,98820.39,Spain,15723873
43,121152.05,1,64166.7,Germany,15744607
60,128981.07,1,176924.21,Germany,15612966
67,151858.98,0,72814.31,Spain,15794278
24,128736.39,0,37147.61,France,15637414
49,88915.37,1,161435.02,France,15641675
60,0,0,102925.76,France,15670755
38,62276.99,0,59280.79,Spain,15813034
35,107749.03,0,3937.37,France,15677305
36,127160.78,0,78140.75,Germany,15637979
43,134022.06,0,194764.83,France,15583212
35,124151.09,1,88705.14,France,15582741
36,77253.5,1,35817.97,Germany,15637876
43,140080.32,1,157908.19,Germany,15672056
60,115920.62,1,157552.08,Germany,15677921
41,119782.72,0,120284.67,Spain,15724296
63,114715.71,1,24506.95,France,15685329
36,129748.54,1,47271.61,Germany,15584091
32,0,0,9468.64,France,15639314
49,113599.74,1,158887.09,Germany,15789158
58,116922.25,1,120415.61,Germany,15712551
28,118945.09,1,16064.25,Spain,15628936
27,0,0,192247.35,France,15737051
58,116313.57,1,190696.35,Germany,15571221
35,0,0,119899.52,Spain,15600739
48,111962.99,0,111755.8,Germany,15707473
46,98444.19,0,109563.28,France,15668747
52,0,0,173952.5,France,15747542
39,127771.35,0,151738.54,France,15640280
46,0,1,14679.81,Spain,15756026
53,167772.96,0,136886.86,Germany,15708917
33,0,0,58685.59,Spain,15578980
28,122384.22,1,89017.38,Germany,15775306
29,0,0,191166.09,France,15734565
42,123331.36,1,103516.08,Germany,15806438
36,132578.92,0,84320.94,Germany,15596939
69,137453.43,1,110932.24,Spain,15757811
36,0,0,143635.36,Spain,15603830
31,112373.49,0,131167.98,Germany,15596914
29,154333.82,0,138527.56,Germany,15797964
37,0,0,147012.22,Spain,15585036
48,0,1,30730.95,Spain,15585888
50,145338.76,1,91936.1,Germany,15707567
41,0,1,28266.9,Spain,15672012
44,137148.68,0,92381.01,France,15806983
51,122874.74,0,149648.45,Spain,15646558
48,97133.92,1,113316.77,Germany,15794048
41,153895.65,0,39087.42,Germany,15677610
49,134956.02,1,93953.84,Germany,15693864
64,0,1,195635.3,France,15809087
43,190227.46,1,97508.04,France,15807663
32,172448.77,1,188083.77,France,15809100
38,0,0,186884.04,France,15805449
48,170833.46,1,110510.28,France,15756804
44,108122.39,1,108488.33,Germany,15646810
45,129818.39,1,9217.55,Germany,15692750
35,163943.89,0,15068.18,France,15794549
32,173340.83,0,122763.95,Germany,15581229
60,0,1,17978.68,France,15585362
43,0,1,115136.51,France,15571928
45,45144.43,1,60917.24,France,15743007
65,92113.61,0,142548.33,France,15777211
74,106545.53,0,134589.58,Germany,15702968
42,0,0,74077.91,France,15585255
51,0,1,77294.56,France,15772781
35,125884.95,1,54359.02,Germany,15669987
35,0,0,94820.85,France,15733119
40,102967.41,1,128702.1,France,15654700
40,93051.64,1,71865.31,Germany,15642041
58,0,1,176407.15,France,15794580
45,0,1,92027.69,France,15675964
46,104947.72,1,115789.25,France,15724848
31,135213.71,0,125777.28,Spain,15754713
32,0,0,94739.2,Spain,15566091
39,0,1,56999.9,France,15792328
44,0,0,9200.54,France,15797748
61,0,1,22447.85,Spain,15743411
51,0,1,189122.89,France,15753337
34,70302.48,0,68600.36,France,15658485
61,133802.29,0,90304.01,Germany,15677135
42,192390.52,0,823.36,Germany,15634141
36,0,1,135482.26,Spain,15737795
52,109922.61,1,96823.32,France,15613630
35,106518.52,0,127951.81,Spain,15754084
46,0,1,157333.69,France,15804586
36,67226.37,0,130789.6,France,15729362
39,0,1,194273.2,Spain,15745324
38,118590.41,1,5684.17,France,15741336
67,145981.87,0,131043.2,France,15783659
48,73309.38,1,21228.34,France,15620981
66,111577.01,0,189271.9,Germany,15606149
42,156371.61,1,156774.94,Spain,15660429
43,0,0,85523.24,Spain,15631681
31,108822.4,0,132173.31,Germany,15686164
63,96134.11,1,108732.96,Spain,15731815
43,115888.04,1,117349.19,Germany,15580956
37,84496.71,0,79972.09,France,15641009
43,78992.75,0,153265.31,Germany,15605918
43,132558.26,1,67046.83,France,15570060
27,197041.8,0,151912.49,France,15624729
35,128100.28,1,69454.24,Germany,15807008
25,124532.78,0,11723.57,France,15704770
34,151839.26,1,102299.81,Spain,15613749
31,149620.88,0,104533.51,Spain,15664521
49,168197.66,1,140765.57,France,15681206
42,65046.08,0,140139.28,Germany,15724563
44,0,0,78439.73,Spain,15645621
42,121980.56,0,4027.02,Germany,15691111
42,175159.9,1,67124.48,France,15701301
26,105514.69,0,50070.59,Germany,15723685
52,116497.31,1,53793.1,Germany,15701602
45,0,1,130009.85,France,15569050
40,0,1,127847.25,France,15799811
29,0,0,48673.18,France,15655274
37,89634.69,1,169583.18,France,15686936
40,95710.11,0,49063.42,Germany,15770424
45,103909.86,1,60083.11,Germany,15602010
49,173434.9,1,165580.93,France,15654673
25,108691.95,0,63030.97,France,15729279
34,0,0,81853.98,Spain,15686345
40,0,0,81622.52,Spain,15750243
30,107316.09,0,64299.82,France,15668958
67,153946.14,0,7418.92,Spain,15780870
39,135483.17,1,140881.2,Spain,15593969
38,119624.54,0,110472.12,France,15779059
42,0,1,16500.66,Spain,15644200
48,0,1,114020.06,France,15793949
25,54817.55,0,131660.31,Germany,15645103
40,107949.45,1,52449.62,Germany,15705860
38,98205.77,0,176318.27,Germany,15623471
33,0,0,45348.08,Spain,15798521
47,122949.14,1,180251.68,France,15706534
48,155413.06,0,187921.3,Spain,15650933
38,67111.65,1,78566.64,Germany,15631189
20,0,0,140385.33,France,15699598
36,152169.12,1,38629.3,France,15692744
52,0,1,24998.75,France,15688963
57,0,1,19376.56,France,15680303
40,113348.14,1,31904.31,France,15628674
47,170935.94,1,173179.79,Germany,15648075
23,0,0,196668.51,Spain,15625698
39,0,0,99654.13,Spain,15750929
38,130933.74,0,2035.94,Germany,15589195
36,89772.3,1,177383.68,Spain,15663438
24,0,0,61349.37,France,15591257
42,0,1,196466.83,France,15646513
36,100749.5,1,70758.37,France,15708063
22,0,0,9684.52,Spain,15645517
41,94267.9,1,152821.12,France,15585198
29,0,1,76755.99,France,15689081
39,100717.85,1,73406.04,Germany,15813168
39,148586.64,0,176791.27,France,15768201
28,0,0,151645.96,France,15590476
34,135549.9,1,149471.13,Germany,15660316
38,110555.37,0,46522.68,Germany,15678886
52,185891.54,1,46369.57,France,15592229
59,130854.59,1,30722.52,Germany,15798424
42,92578.14,0,70810.6,France,15714750
21,132312.06,1,106663.46,Germany,15648800
62,144976.5,1,175836.03,France,15626147
42,0,0,101485.72,France,15723250
47,115414.19,1,191734.67,France,15592583
31,90018.45,0,193132.98,Germany,15589358
56,112414.81,1,93982.02,Germany,15789955
33,158456.76,1,197000.92,Germany,15596800
35,0,1,106837.06,Spain,15627305
32,155663.31,0,97658.66,France,15750258
35,0,1,49108.23,France,15685309
37,0,0,171707.93,France,15762110
22,0,0,105125.65,France,15614220
37,96652.86,1,98686.4,France,15566251
43,148962.76,1,173878.87,Germany,15694821
34,0,0,41724.72,Spain,15616529
45,151421.44,0,115333.43,Germany,15589754
45,135643,1,143619.52,Germany,15669899
49,0,0,49872.33,France,15741295
58,125801.03,1,60891.8,Germany,15690007
35,0,1,76640.29,France,15719348
41,104817.41,1,126013.58,France,15781802
36,164850.54,0,62722.44,France,15750776
27,0,0,63495.86,France,15710456
40,120711.73,1,27345.18,Germany,15640454
43,122717.53,0,87000.39,Germany,15697789
40,203715.15,1,179978.68,Spain,15588670
34,0,0,14121.61,France,15604217
49,0,1,190296.76,France,15782454
34,0,0,99128.13,France,15570326
43,168069.73,1,146992.24,France,15755638
47,130538.77,0,92915.84,Germany,15755649
50,126547.8,1,79579.94,France,15719302
30,128262.72,0,50771.16,France,15639882
40,169742.64,1,153537.55,France,15791279
61,129855.72,1,170214.82,Spain,15589572
28,146098.43,1,100615.14,Spain,15779947
28,65643.3,0,28760.99,Germany,15739131
30,99785.28,0,197238.03,Germany,15804602
46,127655.22,1,139994.68,Germany,15651052
40,0,0,34453.17,France,15650098
47,128252.66,0,168053.4,France,15616451
51,0,1,38409.79,France,15658969
42,0,1,158302.59,Spain,15813590
33,0,1,94993.04,Spain,15674148
54,0,1,173912.29,Spain,15625080
33,0,0,41139.05,France,15682528
23,0,1,164128.41,France,15730038
44,124601.58,1,46998.13,Germany,15812272
33,115182.84,0,177279.41,Germany,15654654
47,128486.11,0,179227.12,Spain,15628298
38,0,0,158553.1,France,15578515
46,107850.82,1,139431,Germany,15607537
33,103471.52,0,162703,Germany,15774155
36,129829.59,0,60906.12,France,15617934
38,132122.42,0,31730.32,Germany,15616709
44,81553.93,1,20063.63,France,15658052
28,0,0,192449.02,Spain,15770030
40,125534.51,1,121504.18,Germany,15814930
68,97705.99,0,61569.07,France,15658306
46,46870.43,1,31272.14,France,15610383
42,120094.93,0,184056.45,France,15781989
27,147004.34,1,64381.33,Germany,15743532
31,104678.62,0,50972.6,Spain,15732199
55,116973.26,1,122066.5,France,15662291
44,148481.09,0,130529.13,France,15617078
39,165610.41,0,131852.01,Germany,15756539
33,0,1,181945.52,France,15612064
37,113488.68,1,95611.74,Germany,15690182
25,0,0,73873.65,Spain,15671590
46,182364.53,1,139266.48,Spain,15779182
59,127450.14,0,67552.71,France,15742229
39,131468.44,0,164975.82,Spain,15597239
40,102980.44,1,1285.81,Germany,15688880
41,0,0,74275.08,France,15636589
55,70263.83,0,62347.71,Spain,15803365
37,134752.08,0,162511.55,France,15724620
32,134096.53,1,53931.05,Germany,15683930
31,118100.59,0,103165.15,France,15749004
52,76915.4,1,146359.81,Germany,15800434
46,81576.75,1,28370.95,Spain,15709117
33,118327.17,0,192928.82,France,15662294
38,65942.26,1,68093.23,France,15596181
54,0,1,149583.67,France,15644833
31,0,0,33082.81,France,15808689
37,0,1,121883.87,France,15720702
43,0,1,100722.72,France,15665077
47,0,0,177624.01,France,15596493
50,159453.64,1,54560.79,Spain,15629244
26,142721.52,0,153605.75,Germany,15765537
62,118233.81,1,24765.53,Germany,15574331
40,0,1,28280.8,France,15645572
38,145018.49,0,126702.41,France,15796721
43,0,1,125870.79,Spain,15576683
38,126473.99,0,91972.49,Spain,15682563
43,97403.18,1,107415.02,Spain,15645511
41,176845.41,1,166526.26,France,15609824
40,119507.58,1,91560.63,Germany,15691104
32,92199.84,0,2755.53,France,15576162
54,120633.42,1,5924.38,France,15635435
48,134542.73,1,58203.67,Germany,15596552
52,0,1,73585.18,Spain,15683403
49,154344.49,0,38794.57,France,15769005
22,97975.82,0,62083,Germany,15694409
39,124548.99,0,120380.12,Germany,15719958
43,201696.07,1,133020.9,France,15689514
44,114203.47,1,77830.36,Germany,15627232
31,0,0,136610.02,Spain,15745843
50,125437.64,1,17160.94,Germany,15722902
38,0,0,196990.79,France,15723006
46,135555.66,1,133146.03,Germany,15771942
41,73700.12,1,185750.02,France,15587233
26,130483.95,0,122810.53,Germany,15743067
41,0,1,3440.47,France,15714466
46,67563.31,1,44506.09,Spain,15690647
40,118633.08,1,60032.46,France,15775295
55,159441.27,1,100686.11,France,15684196
38,125212.65,1,15795.88,Germany,15787835
45,88656.37,0,116547.31,Spain,15730540
33,0,1,92277.47,Spain,15748797
46,135070.58,1,44244.49,Germany,15754796
38,0,1,78133.48,France,15628947
27,122550.05,0,137835.82,France,15670481
41,90350.77,1,75884.65,Spain,15797276
44,128747.69,1,146955.71,France,15612494
32,0,0,30807.02,France,15579062
73,0,1,130883.9,France,15710164
29,99097.36,0,9796.69,Germany,15588986
33,0,0,114182.07,Spain,15667651
45,83888.54,0,34121.81,Spain,15753969
42,91611.12,1,144675.3,Spain,15596671
59,101609.77,1,161479.19,Germany,15799966
57,0,0,133501.94,France,15794560
44,0,0,94862.93,Spain,15687959
28,119336.29,0,58976.85,Germany,15646615
56,104217.3,1,55857.48,Germany,15574068
39,144757.02,1,22878.16,Germany,15796334
43,0,1,125154.57,France,15598751
38,0,0,113597.64,France,15703019
56,110802.03,1,50230.31,Spain,15697311
46,120392.99,1,177719.88,Germany,15585367
31,136556.44,1,82152.83,Spain,15676242
35,99587.43,1,1713.1,France,15774882
34,70731.07,1,20243.97,Spain,15608653
28,0,0,126561.07,Spain,15789546
55,117561.49,1,95941.55,France,15571778
23,88980.32,0,125222.36,France,15657085
41,103560.57,1,236.45,Germany,15566211
40,0,0,181610.6,Spain,15595067
52,0,1,175843.68,France,15814846
49,120656.86,1,166164.3,Germany,15670374
26,80780.16,0,19225.85,Spain,15729956
26,101641.14,0,154460.68,France,15703399
45,92786.66,1,173365.9,France,15630725
30,98014.74,0,12757.14,France,15716822
29,0,0,197996.65,Spain,15607713
46,0,1,122953,France,15700212
51,93656.95,1,141400.51,Spain,15716491
30,121345.88,1,41921.75,Spain,15625824
43,102365.49,1,194690.77,Germany,15634891
50,0,1,166677.35,Spain,15744517
38,0,0,79618.79,Spain,15799156
50,81947.76,1,63606.22,France,15590146
47,158623.14,1,83499.89,France,15762277
32,0,0,143598.7,France,15791302
48,132403.56,1,36091.91,Germany,15798975
36,0,0,48314,France,15701200
39,0,0,98894.64,France,15586974
37,96558.66,0,163427.18,France,15701333
64,124043.8,1,111402.97,France,15738267
52,131694.97,1,92873.5,Germany,15786800
51,0,0,194733.28,France,15653595
32,145807.59,0,3064.65,France,15597131
32,145980.23,0,56636.28,Germany,15589660
47,152522.47,1,164038.07,Germany,15782736
34,0,0,27472.07,France,15794014
23,137060.88,0,165227.23,Germany,15605950
43,0,0,36202.74,Spain,15618926
25,0,0,135112.09,Spain,15618581
48,59486.31,1,163944.18,France,15584364
34,0,0,64804.04,France,15718779
40,140596.95,1,135459.02,France,15709994
29,0,0,94815.04,Spain,15772777
37,90432.92,1,188366.04,Germany,15706815
43,110822.9,0,72861.94,Germany,15634281
31,109052.59,1,19448.93,Germany,15600991
42,152324.66,0,171733.22,Germany,15742613
53,115029.4,1,191521.32,France,15683124
40,114005.78,0,67998.45,France,15618314
42,116646.76,1,44731.8,Germany,15670823
49,110864.38,1,124532.9,Spain,15607133
44,109528.28,1,27341.63,France,15725141
40,95624.36,0,60706.33,France,15647474
35,118273.83,0,3086.89,France,15793881
43,0,1,168035.62,France,15730394
42,0,0,128449.33,Spain,15631460
61,155973.13,0,147554.26,France,15758035
29,60280.62,0,154271.41,Spain,15729668
27,188614.07,0,171344.09,Germany,15765520
48,120782.7,1,63940.68,Germany,15647842
28,115062.61,0,179056.23,France,15748718
42,108825.34,1,55558.51,France,15751158
31,152663.77,0,17128.64,France,15695129
39,122524.61,0,88463.63,France,15801466
49,91502.99,1,117232.9,Germany,15781553
52,0,1,116137.01,France,15649121
49,0,0,23631.55,France,15665695
43,141749.74,0,90905.26,Germany,15657386
38,75075.14,1,8651.92,Spain,15777797
25,0,0,69361.95,Spain,15681758
28,0,1,7597.83,France,15588248
30,0,0,157884.83,Spain,15810347
46,130812.91,1,77981.54,Germany,15595303
57,107174.58,1,126369.55,Germany,15634950
54,152677.48,1,191973.49,Spain,15685372
30,132005.77,0,142940.39,France,15745827
37,0,0,193995.37,France,15718944
47,102562.23,0,92708.1,Spain,15661528
37,0,0,185210.63,France,15701109
50,129293.74,1,177805.44,Germany,15651533
40,150777.1,0,114732.62,Germany,15655574
31,108632.48,1,179485.96,Spain,15585067
59,153861.1,0,17699.48,France,15675501
56,100374.58,1,118490.8,France,15633233
31,116891.72,0,107137.3,Germany,15575409
54,133656.91,1,145071.33,Germany,15752342
37,111852.84,0,10511.13,France,15682356
40,148571.07,1,189826.96,Germany,15663441
52,0,0,144113.42,France,15791991
46,0,1,77677.14,France,15579706
24,0,0,92180.62,France,15755722
24,114739.92,1,85891.02,Spain,15716994
37,0,0,110142.34,France,15713854
42,105722.69,1,90558.24,Germany,15675896
44,0,1,66926.83,Spain,15658057
39,133261.13,0,78065.9,Spain,15811236
24,140453.91,0,129001.3,France,15572093
20,117356.19,1,113557.7,Germany,15713826
41,0,0,160607.06,France,15804610
