Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
M,18,913.12,Low,Commercial associate,Core staff,Semi-Urban,28083.84,136.19,N,Y,2,672.93,0,Unpossessed,203,913.12,1,Semi-Urban,1,52660.7,19658.69
M,63,2209.46,High,Pensioner,,Semi-Urban,46182.94,283.02,N,Y,1,832.66,0,Unpossessed,927,2209.46,4,Rural,1,55120.64,34637.2
M,58,4784.63,Low,State servant,Managers,Semi-Urban,86978.96,450.31,N,Y,,720.52,0,Active,941,4784.63,1,Rural,1,112345.53,56536.32
M,62,1724.94,Low,Working,Laborers,Semi-Urban,91881.27,350.65,N,N,1,633.23,0,Inactive,107,1724.94,3,Urban,1,148158.43,0
F,46,1919.9,Low,Working,Laborers,Semi-Urban,69968.1,740.09,N,N,1,626.07,0,Inactive,727,1919.9,1,Semi-Urban,0,128969.08,0
F,18,3275.09,Low,Commercial associate,Core staff,Semi-Urban,95424.74,366.69,N,N,2,,0,Active,665,3275.09,2,Urban,1,142748.62,71568.56
F,27,,Low,Working,Accountants,Semi-Urban,105484.99,502.24,Y,Y,2,805.87,0,Active,814,,2,,1,190767.99,73839.49
M,24,,Low,Working,Drivers,Rural,114247.95,573.79,Y,N,2,798.77,0,Unpossessed,416,,3,Urban,1,171176.41,79973.56
F,38,3992.64,Low,State servant,,Semi-Urban,82183.75,347.35,Y,N,1,735.52,1,Unpossessed,980,3992.64,3,Urban,1,96941.75,57528.62
M,31,1891.42,Low,Working,Sales staff,Semi-Urban,146241.93,724.63,N,N,2,609.85,0,Unpossessed,389,1891.42,2,Urban,0,227609.47,0
M,18,2207.25,Low,Working,Laborers,Semi-Urban,68663.67,483.71,N,Y,2,728.43,1,,585,2207.25,1,Urban,1,126418.92,48064.57
M,18,,Low,Working,,Semi-Urban,97772.89,735.91,Y,Y,2,727.15,0,Inactive,218,,2,Urban,1,179594.22,63552.38
M,51,1770.85,Low,Working,Sales staff,Semi-Urban,52865.83,-999,N,Y,2,700.34,0,Inactive,883,1770.85,2,,1,84261.53,37006.08
F,53,4851.76,Low,Working,Managers,Semi-Urban,159054.41,679.9,N,Y,4,749.47,0,Active,499,4851.76,4,Urban,1,295276.15,111338.09
M,21,1983.93,Low,Working,Laborers,Semi-Urban,70401.61,318.19,Y,Y,4,655.49,1,Inactive,861,1983.93,4,Rural,1,127224.32,49281.13
M,28,3639.02,Low,Commercial associate,Managers,Semi-Urban,67503.5,822.07,N,N,,676.99,0,Inactive,184,3639.02,4,Rural,1,103136.71,43877.28
M,45,2835.22,Low,Commercial associate,Drivers,Rural,247237.24,748.09,Y,Y,4,675.22,0,Inactive,134,2835.22,3,Rural,1,390810.38,160704.21
M,39,5599.87,Low,Commercial associate,,Semi-Urban,115230.19,,Y,Y,1,787.54,0,Unpossessed,17,5599.87,3,Semi-Urban,1,150618.05,92184.15
M,35,2299.97,Low,Working,Laborers,Semi-Urban,63669.67,342.74,N,N,2,657.62,0,Active,364,2299.97,2,Urban,1,71778.8,41385.29
F,20,872.79,Low,Commercial associate,Core staff,Rural,51171.35,264.87,N,Y,,695.59,0,Unpossessed,135,872.79,1,Semi-Urban,1,60142.78,35819.94
F,31,2289.97,Low,Working,Laborers,Semi-Urban,121772.47,426.83,N,N,1,600.69,0,Inactive,146,2289.97,2,Semi-Urban,0,167368.14,0
F,45,,Low,Working,Sales staff,Rural,180930.3,633.67,Y,Y,3,,0,Inactive,205,,3,Semi-Urban,1,314838.51,117604.7
M,55,3924.9,Low,Working,Laborers,Rural,184136.41,1050.15,Y,Y,3,762.83,0,Inactive,187,3924.9,4,Urban,1,306584.41,0
M,22,2678.66,Low,Working,Core staff,Rural,210775.85,608.06,N,Y,,830.52,0,Inactive,611,2678.66,1,Semi-Urban,1,281007.41,147543.1
M,22,2826.89,Low,Commercial associate,Laborers,Semi-Urban,80474.73,,Y,N,1,652.95,0,,733,2826.89,3,Rural,1,128545.27,56332.31
M,39,3281.72,Low,Working,Accountants,Semi-Urban,34939.06,250.76,N,Y,1,620.03,0,Unpossessed,438,3281.72,2,Semi-Urban,1,55468.32,0
F,38,,Low,Working,Accountants,Semi-Urban,166138.71,977.16,Y,Y,,754.79,0,Inactive,91,,3,Urban,1,276467.91,132910.97
M,63,,High,Pensioner,,Semi-Urban,166600.27,559.37,N,Y,1,816.27,0,Active,497,,1,Semi-Urban,0,243382.25,133280.22
M,56,3022.38,Low,Working,Laborers,Semi-Urban,98264.43,840.68,Y,Y,2,800.34,0,Active,397,3022.38,1,Urban,1,183787.23,0
F,62,4505.28,Low,Commercial associate,Accountants,Semi-Urban,77308.46,470.07,N,Y,2,,0,Inactive,181,4505.28,4,Rural,1,108579.71,61846.77
F,64,3448.23,Low,Commercial associate,Managers,Urban,112401.17,502.3,N,Y,2,644.72,0,,578,3448.23,4,Rural,1,193035.21,0
F,27,1654.97,Low,Working,Low-skill Laborers,Semi-Urban,36359.21,381.12,N,Y,,676.03,0,Active,546,1654.97,2,Urban,1,55659.42,-999
F,20,1404.56,Low,Working,Medicine staff,Semi-Urban,79536.89,327.33,Y,Y,2,681.01,0,Active,147,1404.56,2,Rural,1,138618.47,55675.82
M,50,1189.91,Low,State servant,Managers,Semi-Urban,42870.03,109.54,N,N,2,849.43,1,,859,1189.91,3,Rural,1,75081.39,0
M,18,5170.53,Low,Commercial associate,Drivers,Semi-Urban,154098.41,709.89,Y,N,1,763.11,0,Active,42,5170.53,1,Urban,0,212505.98,0
F,28,4278.31,Low,Working,,Urban,180316.76,574.64,N,N,3,803.2,0,Active,552,4278.31,3,Urban,1,279992.61,0
F,40,1371,Low,Commercial associate,Sales staff,Semi-Urban,31901.68,251.32,Y,N,3,782.97,0,Unpossessed,604,1371,1,Semi-Urban,1,50557.55,23926.26
F,65,,High,Pensioner,,Rural,80057.92,298.54,N,Y,2,832.7,1,Unpossessed,890,,2,Semi-Urban,1,121441.51,56040.54
M,23,2154.58,Low,Working,Laborers,Rural,84376.26,574.01,Y,Y,3,653.05,0,Active,695,2154.58,1,Urban,1,153462.98,59063.38
M,45,5140.68,Low,Commercial associate,Accountants,Semi-Urban,222778.78,594.86,N,N,1,742.68,0,Inactive,702,5140.68,2,Rural,1,382960.35,144806.21
M,61,913.7,Low,Working,Laborers,Semi-Urban,32994.54,220.57,N,Y,2,759.54,1,Inactive,506,913.7,4,Urban,1,53658.01,24745.9
F,18,3189.03,Low,State servant,Core staff,Semi-Urban,45385.88,247.16,N,N,1,731.78,0,Inactive,270,3189.03,2,Rural,1,53049.16,29500.82
F,34,1666.13,Low,State servant,Medicine staff,Semi-Urban,39653.7,208.73,N,Y,,676.13,0,Inactive,379,1666.13,1,Rural,1,48974.76,27757.59
F,63,4310.76,Low,Working,Sales staff,Rural,42056.67,458.63,N,N,3,671.48,1,Inactive,421,4310.76,4,Semi-Urban,1,60289.26,29439.67
F,39,,Low,State servant,Core staff,Semi-Urban,277463.82,1059.88,N,N,2,766.92,0,Active,137,,1,Semi-Urban,1,456687.86,208097.86
F,49,1270.74,Low,Working,,Rural,111759.31,363.8,N,N,1,729.13,0,Active,859,1270.74,3,Rural,0,208878.17,0
M,23,9765.16,Low,State servant,Managers,Rural,202203.86,547.3,Y,Y,2,755.04,0,Active,370,9765.16,1,Semi-Urban,1,328565.05,151652.89
F,48,1893.87,Low,Working,Drivers,Rural,44298.46,561.47,N,Y,1,748.59,0,Active,378,1893.87,2,Rural,0,61763.82,0
F,47,,Low,Commercial associate,Accountants,Semi-Urban,94839.06,313.18,N,Y,3,841.23,0,Unpossessed,295,,3,Semi-Urban,1,110704.2,75871.25
M,65,952.88,High,Pensioner,,Semi-Urban,25520.85,123.53,N,Y,2,635.63,0,Unpossessed,975,952.88,1,Urban,1,29977.09,16588.55
M,36,3487.92,Low,State servant,Laborers,Urban,37727.95,209.88,N,N,2,712.74,0,Inactive,261,3487.92,3,Rural,1,57725.9,26409.56
M,20,3225.8,Low,Working,,Urban,32804.51,151.47,N,Y,3,670.29,0,Active,293,3225.8,1,Rural,1,50896.48,21322.93
M,40,1264.51,Low,Commercial associate,Accountants,Semi-Urban,32828.86,382,N,N,2,698.09,0,Unpossessed,119,1264.51,2,Rural,1,48887.06,21338.76
M,43,,Low,Working,Laborers,Semi-Urban,99316.11,367.34,Y,Y,1,707.82,0,Inactive,92,,4,Rural,1,133883.38,64555.47
F,44,3072.69,Low,Working,Waiters/barmen staff,Urban,37284.32,188.58,N,Y,2,649.63,0,Inactive,503,3072.69,3,Rural,0,60024.04,0
F,51,1934.45,Low,Working,,Semi-Urban,104988.22,348.92,N,N,1,753.4,1,Active,719,1934.45,4,Rural,1,136484.33,83990.58
M,60,3463.4,,Pensioner,,Semi-Urban,126125.83,405.72,N,N,2,876.49,0,Unpossessed,337,3463.4,3,Semi-Urban,0,211046.52,94594.37
F,31,2685.44,Low,Working,Laborers,Rural,38792.21,200.72,Y,Y,3,702.61,0,Inactive,645,2685.44,2,Rural,1,56913.13,25214.94
F,49,1337.02,Low,Working,Laborers,Rural,92055.45,284.33,N,Y,2,669.14,0,Inactive,720,1337.02,4,Rural,1,171298.55,64438.81
,53,1933.61,Low,Commercial associate,Core staff,Semi-Urban,89392.48,529.2,N,Y,2,747.8,0,Active,325,1933.61,2,Rural,1,113931.5,58105.11
M,58,2158.44,Low,Working,Laborers,Semi-Urban,61491.45,265.93,N,Y,1,860.17,1,Inactive,970,2158.44,1,Urban,1,108334.41,61491.45
F,61,1689.51,Low,Working,Sales staff,Semi-Urban,145312.7,706.7,Y,N,2,829.1,0,Inactive,259,1689.51,4,Urban,1,195561.43,108984.52
M,44,2801.35,Low,Commercial associate,Sales staff,Urban,88774.3,446.62,Y,Y,2,847.68,0,Inactive,705,2801.35,4,Urban,1,123120.18,71019.44
F,56,1844.93,Low,State servant,Core staff,Semi-Urban,206384.32,611.29,N,Y,2,846.12,0,Unpossessed,77,1844.93,3,Urban,1,295315.13,165107.46
M,33,1491.84,Low,Working,Cleaning staff,Semi-Urban,98757.66,296.19,N,Y,3,761.02,0,Inactive,244,1491.84,3,Semi-Urban,1,133896.96,69130.36
M,34,2627.96,Low,Commercial associate,,Semi-Urban,92008.74,754.24,N,Y,2,790.49,0,Active,322,2627.96,3,Semi-Urban,1,149854.62,69006.56
F,33,3096.56,Low,State servant,Core staff,Semi-Urban,143342.17,445.61,N,N,1,786.75,0,Active,247,3096.56,2,Rural,1,163346.66,100339.52
F,34,2630.81,Low,State servant,Medicine staff,Semi-Urban,67748.18,309.46,N,N,2,807.17,1,Inactive,36,2630.81,2,Semi-Urban,1,114270.9,54198.54
F,51,1765.14,Low,Working,Accountants,Semi-Urban,90684.23,529.79,N,Y,2,763.72,0,Inactive,648,1765.14,3,Semi-Urban,1,171420.13,68013.17
M,36,1290.02,Low,Working,Private service staff,Semi-Urban,72408.99,367.3,N,Y,2,694.74,1,Inactive,311,1290.02,4,Semi-Urban,1,81486.3,50686.29
M,37,2281.27,Low,Working,,Semi-Urban,111396.71,360.72,N,N,1,722.35,0,,286,2281.27,2,Urban,1,149853.02,0
F,31,1777.84,Low,Working,Laborers,Semi-Urban,54616.47,275.83,N,N,2,600.9,1,Active,287,1777.84,4,Rural,0,69328.86,0
M,55,2260.71,Low,Working,Laborers,Urban,37059.23,207.53,N,N,,,0,Active,719,2260.71,4,Rural,1,-999,27794.42
M,34,3666.77,Low,Commercial associate,High skill tech staff,Urban,135920.3,435.56,N,Y,2,731.2,0,Active,941,3666.77,1,Rural,1,216130.47,88348.2
F,27,711.45,Low,Working,High skill tech staff,Semi-Urban,18763.36,199.03,Y,Y,2,760.28,0,Inactive,523,711.45,3,Urban,1,32423.53,14072.52
F,18,1616.71,Low,State servant,Core staff,Rural,48436.47,260.91,N,N,2,735.43,0,Unpossessed,610,1616.71,1,Rural,1,90945.02,31483.71
F,18,4328.52,Low,Working,High skill tech staff,Urban,96453.08,349.27,N,Y,4,791.17,1,Active,822,4328.52,1,Urban,1,175827.2,72339.81
M,30,1337.64,Low,Working,Cleaning staff,Semi-Urban,35653.82,218.15,Y,Y,3,763.29,0,Active,843,1337.64,2,Urban,1,57838.7,24957.67
F,42,902.93,Low,Working,Accountants,Rural,29206.49,193.87,N,N,2,796.6,0,Inactive,270,902.93,2,Rural,1,54130.96,23365.19
F,18,2977.42,Low,Working,Secretaries,Semi-Urban,196366.2,543.98,N,N,2,655.28,0,Active,481,2977.42,2,Rural,1,239589.51,0
M,32,2232.25,Low,Working,Low-skill Laborers,Semi-Urban,29054.14,154.31,Y,Y,2,689.02,1,Inactive,989,2232.25,4,Urban,1,39183.22,18885.19
M,20,2244.84,Low,Commercial associate,,Semi-Urban,41888.13,215.79,Y,N,1,,1,Active,168,2244.84,3,Rural,1,59155.07,27227.28
F,27,3456.79,Low,Commercial associate,Laborers,Rural,75948.53,704.07,N,N,2,798.82,0,Unpossessed,100,3456.79,2,Semi-Urban,1,143664.87,0
F,18,1687.68,Low,Working,Security staff,Semi-Urban,38438.67,264.27,N,N,1,628.57,0,Unpossessed,740,1687.68,2,Semi-Urban,0,66361.05,0
M,18,6978.49,Low,Working,Drivers,Urban,136892.23,766.68,Y,Y,1,759.13,1,Inactive,224,6978.49,3,Semi-Urban,1,245202.4,-999
M,42,3314.29,Low,Working,Managers,Rural,289272.64,971.26,N,N,2,793.64,0,Unpossessed,108,3314.29,3,Semi-Urban,1,359269.49,216954.48
F,59,4548.37,Low,State servant,Managers,Semi-Urban,26223.76,141.14,Y,Y,3,775.37,1,Unpossessed,468,4548.37,1,Semi-Urban,1,40755.83,18356.63
F,52,2848.22,Low,Working,Laborers,Semi-Urban,181880.51,688.81,Y,N,4,680,0,Unpossessed,242,2848.22,4,Semi-Urban,1,238040.11,118222.33
F,46,,Low,Working,Laborers,Semi-Urban,49099.95,232.77,N,Y,4,697.4,0,Unpossessed,787,,2,Semi-Urban,1,78654.66,34369.96
M,27,4177.75,Low,Working,,Urban,84354.01,447.41,N,N,1,,0,Inactive,424,4177.75,1,Semi-Urban,1,157331.47,0
F,25,2348.12,Low,Working,Managers,Semi-Urban,61346.87,539.72,Y,Y,,797.99,0,Inactive,533,2348.12,1,Rural,1,90375.44,42942.81
M,50,4845.64,Low,State servant,High skill tech staff,Urban,128909.74,977.07,Y,Y,,830.19,0,Inactive,704,4845.64,4,Rural,1,202876.23,90236.82
M,29,2423.07,Low,Commercial associate,Laborers,Semi-Urban,35718.62,219.76,N,N,2,743.28,0,Inactive,43,2423.07,3,Semi-Urban,1,56553.79,23217.1
F,44,2043.87,Low,Working,,Rural,77507.33,547.17,Y,N,2,840.02,1,Inactive,8,2043.87,4,Rural,1,97870.65,62005.86
F,57,2019.65,Low,Working,Laborers,Semi-Urban,76237.28,669.34,N,N,2,632.72,0,Unpossessed,287,2019.65,4,Rural,1,134917.09,0
F,45,2932.59,Low,Working,,Semi-Urban,166295.55,658.5,Y,Y,1,707.66,0,Inactive,538,2932.59,3,Rural,1,292557.36,116406.88
F,18,1954.68,Low,Working,Accountants,Semi-Urban,37784.6,412.47,N,N,1,706.29,0,Active,619,1954.68,4,Urban,1,56258.1,26449.22
M,44,1242.03,Low,Working,Drivers,Semi-Urban,40607.66,340.92,N,N,2,706.13,0,Active,195,1242.03,1,Rural,1,59961.69,28425.36
M,29,1074.73,Low,Working,,Semi-Urban,20666.74,163.74,N,Y,4,668.17,0,Active,971,1074.73,1,Semi-Urban,1,28886.27,13433.38
F,18,3085.66,Low,Working,High skill tech staff,Semi-Urban,164926.89,642.72,Y,Y,3,856.4,0,Unpossessed,945,3085.66,4,Rural,0,216791.69,164926.89
M,64,2565.87,Low,Working,Drivers,Semi-Urban,210459.46,596.5,Y,N,2,728.16,0,Unpossessed,110,2565.87,2,Semi-Urban,1,295157.43,0
F,18,2382.86,Low,Commercial associate,,Semi-Urban,78754.31,399.89,N,N,1,677.02,0,Inactive,970,2382.86,1,Urban,1,137470.04,51190.3
M,56,2372.46,Low,Working,Medicine staff,Semi-Urban,53520.6,317.46,N,N,1,820.48,0,Inactive,91,2372.46,3,Urban,1,64954.93,37464.42
F,62,,Low,Working,,Semi-Urban,90175.14,661.15,Y,N,2,661.8,0,Inactive,763,,1,Rural,1,129047.8,58613.84
F,47,3217.05,Low,Working,Sales staff,Rural,99800.4,274.48,N,N,2,710.01,0,Active,538,3217.05,3,Rural,1,157015.89,64870.26
M,61,,High,Pensioner,,Semi-Urban,14148.5,140.84,N,Y,2,811.06,1,Active,863,,1,Rural,1,17236.42,9903.95
F,18,1724.91,Low,Commercial associate,Core staff,Semi-Urban,66662.49,346.68,Y,N,4,682.58,0,Unpossessed,913,1724.91,4,Rural,1,113926.22,43330.62
F,18,3679.36,Low,Commercial associate,,Urban,68401.1,512.82,Y,Y,2,807.47,1,Inactive,347,3679.36,1,Urban,1,88894.47,51300.82
M,38,1275.58,Low,Working,Laborers,Semi-Urban,77657.28,277.53,N,N,,665.14,0,,139,1275.58,2,Rural,1,113092.98,54360.1
F,52,1658.52,Low,Working,Drivers,Rural,74223.09,649.1,Y,N,3,609.43,1,Active,98,1658.52,3,Urban,1,132967.69,0
M,35,5538.31,Low,Working,High skill tech staff,Semi-Urban,37327.9,355.42,Y,N,2,802.11,0,Unpossessed,470,5538.31,3,Rural,1,65233.3,27995.93
M,60,1755.48,Low,Working,,Semi-Urban,73362.3,265.17,N,Y,3,767.74,1,Unpossessed,518,1755.48,1,Semi-Urban,0,95757.5,0
F,25,3097.95,Low,Commercial associate,Laborers,Semi-Urban,38488.89,377.56,Y,Y,3,696.71,0,Inactive,374,3097.95,4,Rural,1,62554.47,26942.22
M,35,,Low,Working,Sales staff,Rural,27125.19,135.72,N,Y,2,633.59,0,Active,696,,4,Urban,1,44884.01,-999
M,20,,Low,Working,Medicine staff,Semi-Urban,58714.15,308.22,N,Y,1,742.22,0,Inactive,448,,4,Urban,1,76057.19,41099.9
F,32,2766.85,Low,Working,Laborers,Semi-Urban,42527.03,212.29,Y,Y,3,663.68,0,Active,845,2766.85,3,Rural,1,50466.91,29768.92
M,18,1744.9,Low,Working,,Rural,24450.61,114.31,N,N,2,644.61,0,Inactive,508,1744.9,4,Semi-Urban,1,37021.08,0
F,60,3146.7,Low,Working,Laborers,Semi-Urban,39425.11,344.94,Y,Y,2,608.63,0,Active,966,3146.7,3,Rural,1,46610.38,0
M,30,2567.96,Low,Working,Managers,Rural,192707.05,497.53,N,Y,3,685.75,0,Unpossessed,857,2567.96,3,Urban,0,348066.47,0
M,56,2748.44,Low,Working,Laborers,Semi-Urban,106859.59,522.9,Y,Y,2,656.9,0,Unpossessed,767,2748.44,1,Rural,1,172818.57,69458.73
M,19,,Low,Commercial associate,Laborers,Semi-Urban,53555.85,353.78,N,Y,3,691.5,0,Unpossessed,335,,2,Urban,1,95632.06,34811.3
F,20,4482.57,Low,Commercial associate,Drivers,Urban,73691.26,782.85,Y,Y,2,836.36,0,Active,635,4482.57,2,Rural,1,120910.58,51583.88
M,18,1636.22,Low,Commercial associate,,Rural,37471.06,273.99,N,Y,1,612.08,0,Active,232,1636.22,1,Semi-Urban,1,41591.2,0
M,45,4566.75,Low,Working,Sales staff,Semi-Urban,26164.58,104.87,N,N,2,608.7,0,Active,612,4566.75,3,Rural,1,28867.64,0
F,56,1739.14,Low,Commercial associate,Cooking staff,Semi-Urban,41136.39,155.85,N,Y,3,653.75,0,,644,1739.14,3,Semi-Urban,0,49277.56,0
M,53,778.47,Low,Commercial associate,,Semi-Urban,27139.89,268.29,N,Y,1,674.07,0,Active,40,778.47,2,Urban,1,29907.83,17640.93
F,27,2806.3,Low,State servant,Drivers,Urban,92574.21,432.7,N,Y,3,599.66,1,Unpossessed,689,2806.3,3,Rural,1,105909.67,0
M,32,1376.07,Low,Working,,Semi-Urban,38861.24,174.14,N,Y,3,864.97,0,Active,25,1376.07,3,,1,44816.13,29145.93
F,62,4331.85,High,Pensioner,,Urban,94630.78,421.51,N,Y,2,858.29,0,Inactive,594,4331.85,2,Semi-Urban,1,160802.94,75704.62
M,18,1589.5,Low,Working,Laborers,Semi-Urban,78384.94,387.14,Y,N,2,629.49,0,Active,71,1589.5,3,Urban,1,119620.28,0
M,18,2068.11,Low,Working,Laborers,Rural,40265.45,435.58,Y,Y,3,673.77,0,Inactive,782,2068.11,3,Semi-Urban,1,60149.43,26172.54
M,20,988.44,Low,Commercial associate,Sales staff,Semi-Urban,20806.25,94.78,N,Y,1,678.55,0,Active,904,988.44,1,Rural,1,25749.53,13524.06
F,64,2868.9,Low,Working,Cooking staff,Rural,106981.1,839.03,N,Y,4,726.65,1,Active,608,2868.9,2,Rural,1,201045.72,74886.77
F,21,3599.34,Low,Commercial associate,Drivers,Rural,37529.95,281.39,N,Y,3,720.95,0,Inactive,781,3599.34,1,Semi-Urban,1,41996.05,26270.96
F,26,1848.29,Low,Commercial associate,Core staff,Semi-Urban,24670.61,123.87,Y,N,1,660.82,0,Unpossessed,892,1848.29,2,Rural,1,46701.18,17269.43
F,25,889.13,Low,Working,High skill tech staff,Semi-Urban,18606.44,118.77,N,Y,1,813.3,0,Active,660,889.13,4,Semi-Urban,1,31057.81,13954.83
F,57,2577.3,Low,Commercial associate,Core staff,Semi-Urban,41436.29,357.47,N,Y,3,831.63,0,,146,2577.3,2,Semi-Urban,1,45793.32,33149.03
M,43,,Low,Working,,Rural,66840.32,786.85,N,Y,,733.97,0,Unpossessed,913,,4,Rural,1,87171.95,43446.21
F,60,1566.41,Low,Working,Sales staff,Semi-Urban,23290.48,211.71,N,Y,3,728.52,0,Active,660,1566.41,4,Semi-Urban,1,27613.66,16303.34
F,34,2200.74,Low,Working,Sales staff,Semi-Urban,37417.39,435.34,N,N,1,733.53,1,Unpossessed,893,2200.74,3,Semi-Urban,1,63460.08,0
M,24,5304.44,Low,Working,Managers,Rural,138481.87,1273.73,Y,N,4,758.71,0,Active,187,5304.44,4,Urban,1,214105.17,103861.4
F,51,,,Working,,Rural,133171.96,455.5,N,Y,1,749,0,Inactive,888,,1,Urban,1,211644.35,93220.37
F,57,2437.26,Low,Working,Drivers,Rural,70535.71,351.14,N,Y,2,602.12,0,Active,861,2437.26,4,Rural,0,105402.12,0
F,38,1946.46,Low,Commercial associate,High skill tech staff,Rural,153472.89,532.76,N,Y,3,747.29,0,Unpossessed,857,1946.46,3,Urban,1,169406.01,99757.38
M,31,4386.39,Low,Commercial associate,,Semi-Urban,110147.57,479.41,N,Y,1,859.83,0,Unpossessed,972,4386.39,3,Rural,1,203893.35,82610.68
F,48,,Low,State servant,,Rural,9419.34,104.75,Y,Y,2,757.31,1,Inactive,78,,1,Urban,1,16791.77,6593.54
M,18,2013.94,Low,Working,Laborers,Semi-Urban,98126.69,477.98,N,Y,2,619.69,0,Active,24,2013.94,1,Semi-Urban,1,170373.72,0
F,46,2785.07,Low,Working,Drivers,Semi-Urban,82562.04,417.43,N,Y,,,1,Active,17,2785.07,3,Semi-Urban,1,134005.3,53665.33
M,25,2832.64,Low,Commercial associate,Drivers,Urban,38991.57,345.53,Y,N,2,817.21,0,Inactive,614,2832.64,4,Semi-Urban,1,-999,27294.1
F,18,4828.33,Low,Commercial associate,Managers,Semi-Urban,71569.07,666.98,Y,Y,2,721.08,0,Inactive,204,4828.33,3,Rural,0,81218.39,0
M,18,,Low,Working,Laborers,Rural,38517.25,,N,N,3,807.88,0,Active,153,,3,Semi-Urban,1,-999,30813.8
M,64,5174.66,,Commercial associate,Managers,Semi-Urban,133824.93,495.18,N,Y,2,825.57,0,Unpossessed,414,5174.66,4,Urban,1,224733.68,107059.94
M,42,10208.42,Low,Working,Managers,Semi-Urban,64406.19,315.35,Y,N,3,777.38,1,Active,149,10208.42,2,Urban,1,80061.85,48304.64
F,48,3019.18,Low,Working,Low-skill Laborers,Semi-Urban,125147.71,932.19,Y,Y,2,775.64,0,Inactive,161,3019.18,2,Semi-Urban,1,164740.36,100118.17
M,47,2458.85,Low,Working,,Semi-Urban,68141.17,232.04,N,Y,4,680.65,1,Inactive,599,2458.85,1,Rural,1,88536.74,44291.76
M,42,1929.96,Low,Working,Low-skill Laborers,Semi-Urban,28383.75,317.06,N,Y,2,635.7,0,Unpossessed,976,1929.96,4,Rural,1,39981.55,0
M,18,2005.73,Low,State servant,Laborers,Semi-Urban,67345.27,252.97,N,Y,4,709.23,0,Active,7,2005.73,1,Rural,1,79881.11,47141.69
M,54,1744.01,Low,Working,Managers,Rural,48602.03,230.18,N,Y,4,743.42,1,Unpossessed,915,1744.01,2,Rural,1,-999,34021.42
M,61,3478.91,Low,Working,Drivers,Semi-Urban,222887.66,760.95,Y,Y,,799.24,0,Active,889,3478.91,2,,1,272488.69,167165.74
